Untitled report,,,,,,
"November 1, 2025 - November 30, 2025",,,,,,
Campaign,Day,Device,Currency code,Cost,Impr.,Clicks
PRO_Search_|_Oct_25,16-11-2025,Mobile phones,INR,2926.17,"3,969",365
PRO_Search_|_Oct_25,16-11-2025,Tablets,INR,0,13,0
ME_Search_|_Oct_25,16-11-2025,Computers,INR,8.56,58,1
ME_Search_|_Oct_25,16-11-2025,Mobile phones,INR,4474.02,"2,595",279
ME_Search_|_Oct_25,16-11-2025,Tablets,INR,61.34,21,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,16-11-2025,Other,INR,6.32,155,2
IKONIC-AMZ-Glide-Peach-14-Oct-2025,16-11-2025,Mobile phones,INR,916.3,"8,191",314
IKONIC-AMZ-Glide-Peach-14-Oct-2025,16-11-2025,Tablets,INR,0,10,0
Me_Sales_P-Max_Oct25,16-11-2025,Computers,INR,21.44,294,6
Me_Sales_P-Max_Oct25,16-11-2025,Mobile phones,INR,2018.6,"45,650",795
Me_Sales_P-Max_Oct25,16-11-2025,Tablets,INR,0.05,98,0
Pro_Sales_P-Max_Oct25,16-11-2025,Computers,INR,135.33,651,9
Pro_Sales_P-Max_Oct25,16-11-2025,Mobile phones,INR,3243.52,"40,978",723
Pro_Sales_P-Max_Oct25,16-11-2025,Tablets,INR,4.96,93,0
PRO_Search_|_Oct_25,17-11-2025,Computers,INR,482.35,284,28
PRO_Search_|_Oct_25,17-11-2025,Mobile phones,INR,4099.42,"4,967",423
PRO_Search_|_Oct_25,17-11-2025,Tablets,INR,0,19,0
ME_Search_|_Oct_25,17-11-2025,Computers,INR,633.36,137,23
ME_Search_|_Oct_25,17-11-2025,Mobile phones,INR,6335.83,"3,684",323
ME_Search_|_Oct_25,17-11-2025,Tablets,INR,49.64,22,2
IKONIC-AMZ-Glide-Peach-14-Oct-2025,17-11-2025,Other,INR,19.18,172,6
IKONIC-AMZ-Glide-Peach-14-Oct-2025,17-11-2025,Mobile phones,INR,916.33,"9,024",328
IKONIC-AMZ-Glide-Peach-14-Oct-2025,17-11-2025,Tablets,INR,0,9,0
Me_Sales_P-Max_Oct25,17-11-2025,Computers,INR,64.15,501,16
Me_Sales_P-Max_Oct25,17-11-2025,Mobile phones,INR,1984.19,"32,168",443
Me_Sales_P-Max_Oct25,17-11-2025,Tablets,INR,1.5,65,1
Pro_Sales_P-Max_Oct25,17-11-2025,Computers,INR,255.53,"1,231",34
Pro_Sales_P-Max_Oct25,17-11-2025,Mobile phones,INR,3150.06,"44,400",802
Pro_Sales_P-Max_Oct25,17-11-2025,Tablets,INR,3.78,108,0
PRO_Search_|_Oct_25,18-11-2025,Computers,INR,427.78,169,25
PRO_Search_|_Oct_25,18-11-2025,Mobile phones,INR,4436.02,"4,591",428
PRO_Search_|_Oct_25,18-11-2025,Tablets,INR,49.95,23,4
ME_Search_|_Oct_25,18-11-2025,Computers,INR,261.19,134,16
ME_Search_|_Oct_25,18-11-2025,Mobile phones,INR,3906.4,"2,432",229
ME_Search_|_Oct_25,18-11-2025,Tablets,INR,39.04,27,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,18-11-2025,Other,INR,22.07,268,8
IKONIC-AMZ-Glide-Peach-14-Oct-2025,18-11-2025,Mobile phones,INR,967.7,"8,477",347
IKONIC-AMZ-Glide-Peach-14-Oct-2025,18-11-2025,Tablets,INR,0,9,0
Me_Sales_P-Max_Oct25,18-11-2025,Computers,INR,143.82,359,19
Me_Sales_P-Max_Oct25,18-11-2025,Mobile phones,INR,1649.43,"29,825",440
Me_Sales_P-Max_Oct25,18-11-2025,Tablets,INR,9.29,57,1
Pro_Sales_P-Max_Oct25,18-11-2025,Computers,INR,203,904,22
Pro_Sales_P-Max_Oct25,18-11-2025,Mobile phones,INR,2949.3,"44,773",853
Pro_Sales_P-Max_Oct25,18-11-2025,Tablets,INR,10.14,84,1
PRO_Search_|_Oct_25,19-11-2025,Computers,INR,211.93,184,21
PRO_Search_|_Oct_25,19-11-2025,Mobile phones,INR,3837.12,"3,776",381
PRO_Search_|_Oct_25,19-11-2025,Tablets,INR,0,15,0
ME_Search_|_Oct_25,19-11-2025,Computers,INR,305.44,127,16
ME_Search_|_Oct_25,19-11-2025,Mobile phones,INR,3192.12,"2,223",211
ME_Search_|_Oct_25,19-11-2025,Tablets,INR,39.38,26,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,19-11-2025,Other,INR,8.61,223,3
IKONIC-AMZ-Glide-Peach-14-Oct-2025,19-11-2025,Mobile phones,INR,914.19,"8,476",314
IKONIC-AMZ-Glide-Peach-14-Oct-2025,19-11-2025,Tablets,INR,0,14,0
Me_Sales_P-Max_Oct25,19-11-2025,Computers,INR,53.77,474,15
Me_Sales_P-Max_Oct25,19-11-2025,Mobile phones,INR,1805.83,"33,091",610
Me_Sales_P-Max_Oct25,19-11-2025,Tablets,INR,1.87,77,1
Pro_Sales_P-Max_Oct25,19-11-2025,Computers,INR,124.53,931,22
Pro_Sales_P-Max_Oct25,19-11-2025,Mobile phones,INR,3443.26,"45,446","1,751"
Pro_Sales_P-Max_Oct25,19-11-2025,Tablets,INR,7.6,122,4
PRO_Search_|_Oct_25,20-11-2025,Computers,INR,813.61,254,36
PRO_Search_|_Oct_25,20-11-2025,Mobile phones,INR,3692.43,"5,479",403
PRO_Search_|_Oct_25,20-11-2025,Tablets,INR,49.39,41,3
ME_Search_|_Oct_25,20-11-2025,Computers,INR,875.31,290,23
ME_Search_|_Oct_25,20-11-2025,Mobile phones,INR,2654.38,"9,437",270
ME_Search_|_Oct_25,20-11-2025,Tablets,INR,1.02,78,2
IKONIC-AMZ-Glide-Peach-14-Oct-2025,20-11-2025,Other,INR,29.83,245,11
IKONIC-AMZ-Glide-Peach-14-Oct-2025,20-11-2025,Mobile phones,INR,925.21,"8,912",312
IKONIC-AMZ-Glide-Peach-14-Oct-2025,20-11-2025,Tablets,INR,0,12,0
Me_Sales_P-Max_Oct25,20-11-2025,Computers,INR,76.59,405,16
Me_Sales_P-Max_Oct25,20-11-2025,Mobile phones,INR,1985.62,"33,995",541
Me_Sales_P-Max_Oct25,20-11-2025,Tablets,INR,0.83,60,0
Pro_Sales_P-Max_Oct25,20-11-2025,Computers,INR,41.92,446,9
Pro_Sales_P-Max_Oct25,20-11-2025,Mobile phones,INR,2661.93,"20,874",698
Pro_Sales_P-Max_Oct25,20-11-2025,Tablets,INR,2.55,26,1
Cadiveu_Instamart_External_20th_Nov_2025,20-11-2025,Mobile phones,INR,0,1,0
PRO_Search_|_Oct_25,21-11-2025,Computers,INR,186.54,154,13
PRO_Search_|_Oct_25,21-11-2025,Mobile phones,INR,3416.12,"3,933",437
PRO_Search_|_Oct_25,21-11-2025,Tablets,INR,72.92,27,6
ME_Search_|_Oct_25,21-11-2025,Computers,INR,221.72,179,11
ME_Search_|_Oct_25,21-11-2025,Mobile phones,INR,3364.02,"3,508",281
ME_Search_|_Oct_25,21-11-2025,Tablets,INR,0,32,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,21-11-2025,Other,INR,9.37,206,3
IKONIC-AMZ-Glide-Peach-14-Oct-2025,21-11-2025,Mobile phones,INR,1006.77,"8,161",342
IKONIC-AMZ-Glide-Peach-14-Oct-2025,21-11-2025,Tablets,INR,0,10,0
Me_Sales_P-Max_Oct25,21-11-2025,Computers,INR,29.45,346,6
Me_Sales_P-Max_Oct25,21-11-2025,Mobile phones,INR,1884.72,"31,303",553
Me_Sales_P-Max_Oct25,21-11-2025,Tablets,INR,17.22,71,6
Pro_Sales_P-Max_Oct25,21-11-2025,Other,INR,0.76,1,1
Pro_Sales_P-Max_Oct25,21-11-2025,Computers,INR,80.56,580,20
Pro_Sales_P-Max_Oct25,21-11-2025,Mobile phones,INR,1962.58,"28,755",694
Pro_Sales_P-Max_Oct25,21-11-2025,Tablets,INR,2.72,62,0
Cadiveu_Instamart_External_20th_Nov_2025,21-11-2025,Mobile phones,INR,375.98,32,2
PRO_Search_|_Oct_25,22-11-2025,Computers,INR,339.21,85,28
PRO_Search_|_Oct_25,22-11-2025,Mobile phones,INR,2999.21,"3,035",408
PRO_Search_|_Oct_25,22-11-2025,Tablets,INR,0.51,19,1
ME_Search_|_Oct_25,22-11-2025,Computers,INR,98.18,68,5
ME_Search_|_Oct_25,22-11-2025,Mobile phones,INR,2869.59,"1,645",211
ME_Search_|_Oct_25,22-11-2025,Tablets,INR,7.77,10,1
